Parrot,Posey,Posaro,Poscarr,Postguffen,,Parrot,Posey,Chattercrest,Skycaller,Paracrest
Rhino,Ridley,Ridmar,Rivdak,Rodruk,,Rhino,Ridley,Gravelram,Platecrash,Rodruk
Rabbit,Roz,Rozrapid,Rostance,Rotai,,Rabbit,Roz,Quickburrow,Runebound,Rotai
Squirrel,Saturn,Satrune,Saturion,Satalis,,Squirrel,Saturn,Acornskip,Boughburst,Satalis
Shark,Sheldon,Sheldrip,Shorebite,Stormjaw,,Shark,Sheldon,Surfscar,Reefbite,Stormjaw
Snake,Sirius,Sircoil,Slycoil,Sibilisk,,Snake,Sirius,Slipcoil,Glassfang,Sibilisk
Sloth,Speed,Spesnooze,Slowsway,Sleepstone,,Sloth,Speed,Leafdrape,Driftbough,Sleepstone
Sabretooth,Speers,Spedran,Spireclaw,Scorchfang,,Sabretooth,Speers,Emberpelt,Brandclaw,Scorchfang
Turtle,Tadeo,Tadshell,Tiderock,Tidecano,,Turtle,Tadeo,Shellbrace,Rockslide,Tidecano
Tiger,Tilden,Tilvar,Trailroar,Thunderclash,,Tiger,Tilden,Strideclaw,Roarcutter,Thunderclash
Whale,Wai,Wairen,Waitide,Waveseer,,Whale,Wai,Soundwake,Deeprow,Waveseer
Wolf,Wila,Wildern,Wildern,Warstrike,,Wolf,Wila,Fenrunner,Howlgrim,Warstrike
Wildcat,Wynter,Wynrel,Wyvstripe,Wynscar,,Wildcat,Wynter,Brushpelt,Stripedrift,Wynscar
Zebra,Zandra,Zarnet,Zastri,Zestreak,,Zebra,Zandra,Stepstripe,Dashband,Zestreak
