prefix,name,new name,description,supply,attributes__category,image
IFB,Food Box,,"Made with extremely durable material- space foam and plastic, this Food Box is designed for transporting food of any temperature. It's sleek, solid and impermeable to prevent any messes on the moon.",3000,Transport,https://ttm.mypinata.cloud/ipfs/QmZmkbeBDXj3NBFqQrmm2Q23ti1N9LoUBhXnGbLiFMwkBo
ISFB,Special Food Box,,"The Moon Creatures require Special Food and Special Food requires a Special Box. This trusty capsule is far from your mom's Tupperware, as it's specifically engineered to maintain the food's rare, holistic qualities.",3000,Transport,https://ttm.mypinata.cloud/ipfs/QmbwwEYhXbKZVN43gdJDKoNdagDH9rwLbUXPnk3VNDMKd4
IWB,Wheelbarrow,,"Designed with an even weight distribution, this Wheelbarrow is just as easy to manoeuvre when filled to the brim with Gas, as when empty. The use of a lightweight space plastic also contributes to this wonderbarrow's effectiveness.",2500,Transport,https://ttm.mypinata.cloud/ipfs/QmW9pNpbHeD6RxB3xNhtKGGydb8HJsjEQh4kTJpXzTHf6G
IMC,Mining Cart,,"This fancy, advanced wagon transports the Lithium Moon Rocks. It is small enough to take up the mountains and large enough to hold a substantial amount of the special metal.",2500,Transport,https://ttm.mypinata.cloud/ipfs/QmNfs1qxmMokRxmDVU1mGDpiop7FYz59sBhDqUu4yDgDM3
ISB,Special Basket,,The Special Basket is used to transport the electrical mushrooms. It is made of a non-conductive material that will maintain the needed energy of its contents.,2500,Transport,https://ttm.mypinata.cloud/ipfs/QmNkyehbNy2oYDeJevQ8wSArrFgLj8dhZxFXHborAHPUBo
ISG,Special Gloves,,"These Special Gloves allow for the preservation of the fossil's natural state through the prevention of disintegration. Fossils are delicate and the more intact they are when reaching the Research Labs, the better, which is why these particular gloves are essential when it comes to handling them.",1500,Transport,https://ttm.mypinata.cloud/ipfs/QmR35RfcphrvHZrK5i6MgCKmSivKdBLkVn88WsJLr9m2co
ISBG,Special Bag,,"This rare bag is designed specifically to transport raw moon stones to the Oxygen Centres. The magic is safeguarded due to the bag's special material: space canvas. Space canvas appears much more solid than earth canvas but because of the space cotton and other synthetic fabrics, this bag resembles more of a jet pack, than common transportation gear.",700,Transport,https://ttm.mypinata.cloud/ipfs/QmceU7jAahjFuiejYbdojm6s5izVdw1C2JzN5KjEWkmz1z
IPE,Painting Equipment,,"What would the universe be without a little décor and style? Regardless of being black, white and grey, both the brush and ruler spread tasteful design all over the Cryptonaut's side of the moon.",4000,Tool,https://ttm.mypinata.cloud/ipfs/QmYAVDiLHkETh3WWd1Et391RS2XBPuuVdVfpBARTeFHabG
ISPD,Spade,,"This lightweight digger is the most efficient and convenient of the shovel family. Offering a strong grip, this tool makes any project a breeze.",4000,Tool,https://ttm.mypinata.cloud/ipfs/QmNQhZ1jUWzYbLmipuT5ohrh3eND4NTa44irFuZqmGRr2Z
IBT,Bucket and Trowel,,"Impressive masonry is in the details, which is why this duo is a go-to for all brick and stonework. Crafted with smooth metal and fine edges, the trowel and its other half are essential for any type of construction.",3800,Tool,https://ttm.mypinata.cloud/ipfs/QmPSz5LuvhgQD7irHRBfewAMUF9jsTyjuFguSKr9XxvzPG
IPS,Powered Saw,,"With blades of steel, this tool can seriously slice. Regardless of its great force, ultimate control is part of the package and will be appreciated by all masters of saw.",3700,Tool,https://ttm.mypinata.cloud/ipfs/Qmf3M1oYEmN1A9tny47HV5kq8tkBKk4YXHULjSct7g3w6U
IHD,Hammer Drill,,"Able to pierce through concrete, rock, or diamond- the Hammer Drill is a must have tool on the moon. Nails included!",3600,Tool,https://ttm.mypinata.cloud/ipfs/QmYkZ5gW5TsQMtmYkooH4Dyr9dd4P5UcmMuV2zASS7oCoe
IWE,Welding Equipment,,"The welding machine is designed to quickly fuse any materials together. Unlike the average equipment, engineered specially for metals, plastics and woods, the moon welding machine works on any material imaginable.",3500,Tool,https://ttm.mypinata.cloud/ipfs/QmPMAnDrja53Wfb3K8bqyrwcne8Bsb6ABAXx86W64N9XMz
ITB,Tool Box,,Every handy Cryptonaut's dream- this Tool Box holds all the necessities to build and fix nearly anything on the moon. Each tool has its own place in this all-encompassing set.,3200,Tool,https://ttm.mypinata.cloud/ipfs/QmbcnYe1mivdPoCzF5RzRMpk1qxcRPN2i6tE7qgcXgXqmq
IMCL,Moon Closet,,The Moon Closet houses all necessary tools needed to build Moon Infrastructures.,100,Tool,https://ttm.mypinata.cloud/ipfs/QmURiUk1ab7G5y52bn3MKaJpdrLQwJUkNJqSLBb43feXvz
ISL,Scissor Lift,,"Made to reach heights beyond the view from its base, the scissor lift is a quick way to get those hard to reach places and build vertical.",3000,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmQdA1N6MgDmu1YQR2gJPArFAJyYewK7AkBFQRruura1LZ
IFL,Forklift,,"This lightweight champion of a forklift can hold up to nearly 100,000 lbs! This is crucial when it comes to transporting material to build.",2900,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmT84DgPCqbonKdvTpoU5uiixx7LRHYqZdUtAQxKboez1D
IBH,Backhoe,,"This rear actor is the ultimate excavating machine. Offering ultimate power and precision, this vehicle will be a necessity when it comes to construction, demolition, landscaping and breaking through the hardest services of the moon.",2800,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmSjVoKCbaWZ9hP6HSJEhfYr7ifHfLp5cX4mCDxEo2TuqS
ICMX,Cement Mixer,,"Producing enough concrete for a metropolitan oasis, this mixer has a motor wattage of 3000. Flawlessly incorporating water and mix in a short period of time, this machine produces the most effective, smoothest concrete.",2700,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmRe84ZcxKBjdQC3tDbQ3VQUNSJMgGJNd4AyS9D7LxQv9b
IEX,Excavator,,This tank-like crawler is ideal for the uneven terrain of the moon. Its compact look and use of hydraulic power offer stability on tricky surfaces.,2600,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmUb7Bv7NyzA19XXTBkpQcA7ncSrbdnViqhSBf63cNYePk
IDT,Dump Truck,,"Crack proof and rust proof- this dump truck helps transport construction materials, waste and just about anything that needs to get from A to B safe and secured.",2500,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmXzEPpCezA88UW5QfJtTd1k2SQuVMYx217fUUDYq8KNEq
IWCR,Wheeled Crane,,The Wheeled Crane can lift up to 18 tons- that's about five Moon Elephants! This baby also has the ability to move a full 360 degrees offering complete range of motion.,2400,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmWUwmyJu4AkU9fXkb496PR8nn8gNfSHyKDD9dmjcQA85p
IHC,Hydraulic crane,,"Due to its internal hydraulic system, this crane can hold up to 50 tons! In comparison to the solid Wheeled Crane, that is about 12 and a half Moon Elephants, which more than doubles its weight capability.",2300,Construction Vehicle,https://ttm.mypinata.cloud/ipfs/QmQfn2QhxSfkYNcK8tDDeTHDmgMBxPn8MKejMpqg13NyMe
,Hovercraft,,"With its sleek, aerodynamic design, the Hovercraft can pierce through the wind with its airfoil composition and low drag shape. It can be upgraded and modified to increase Speed, Acceleration, and Control.",3000,Hovercraft,
IHCBW,HC Balanced Wheel,,"The HC Balanced Wheel is a wheel modification that offers greater Control of a Hovercraft, while increasing Speed and Acceleration. All in all, this is the most comprehensive modification offered.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/Qmdt42JKWRJL4c65BGi9t5zw1jGHTeWnVyqZhJYMQgobKq
IHCSW,HC Standard Wheel,,"The HC Standard Wheel modification is aimed towards increasing Control of the Hovercraft, but unfortunately increases Acceleration time. The grip on this wheel is also worth noting as the space leather is perfect for all terrain driving control.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmSjJCn8cYLLQfofxNEzquAjhf2AvFZ7xRqoDmJJJMDnMa
IHCEW,HC Expert Wheel,,"The Expert Wheel modification is fully specialized to increase Control, but greatly diminishes the Acceleration. The square shape is the optimal design for maintaining control.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmbNpTUAxi96BvKumE49WAmq1g7PnyPMU4WkKpoNnqXKn5
IHCTS,HC Trainee Spoiler,,This spoiler modification is mainly for adding Speed to the Hovercraft. It minimally increases Control and Acceleration.,1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmXG24ngZHi4GXFx5SAkvfouFTLHq18S8uGxeiKgKc6Yom
IHCDS,HC Dart Spoiler,,"The Dart Spoiler allows for more Speed than the Trainee, but in turn takes away from vehicle Control.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmUmZkBQFv6V2NB72uZT3SfQd2YjxLUS7nJKb9Ey611r1H
IHCRS,HC Rapid Spoiler,,"This spoiler modification is fully specialized towards increasing the Speed of a Hovercraft, which then has a major negative effect on the vehicle's Control.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmP6TWK5Pj1gP51oUUqJ2ptfoA82VuHcMW1WweCaiV2TiW
IHCSB,HC Surge Booster,,"This modification both decreases time of Acceleration and increases Speed; however, its main purpose is to increase the vehicle's Acceleration capabilities.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmXvPRz8sNP7r5s16o9o1f7t5i9LNEGrAFhmjMq5MJ427T
IHCVB,HC Velocity Booster,,"This booster modification is geared towards increasing Acceleration, which negatively affects the Speed. It is a step above the Surge Booster in terms of acceleration.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmTcL4d6JRYHAF5d4QiKXArwjknrXxf269ypwF2XG5tk3h
IHCLB,HC Lightning Booster,,"The Lighting Booster modification is designed for increasing Acceleration, but has a negative effect on Speed. In terms of Acceleration, it is more suitable than Surge and Velocity.",1000,Hovercraft,https://ttm.mypinata.cloud/ipfs/QmXNncmMKmwQ9T4mc3HjAiprJUx6dWFgSg8pzVKC2s3WGA
,Race Car,,"Vroom vroom. This vehicle can be upgraded/modified to increase Speed, Acceleration, and Control. The rear spoiler majorly reduces drag and provides more grip, even when approaching those crazy speeds. With a powerful engine and traction in the tires, this car is ready to run.",3000,Race Car,
IRCBW,RC Balanced Wheel,,"The RC Balanced Wheel is a wheel modification that offers greater control of a Race Car, while increasing Speed and Acceleration. This is a trusty, well-rounded modification.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/Qmdt8xtcALVTT8hN5RRQz3nhUXqYNbwqA5P3yeZRtBAiax
IRCSW,RC Standard Wheel,,"The RC Standard Wheel modification is aimed towards increasing Control of the Race Car, but increases Acceleration time. The grip is of the same material as the HC Standard Wheel, offering greater grip.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmWDtuF3x8DPERdpE7dTXr43b4p3LnGGbkCZz7d3yCkzL4
IRCEW,RC Expert Wheel,,"The Expert Wheel modification is fully specialized to increase Control, but greatly impacts the Acceleration. The similar square shape of the HC Expert Wheel contributes to Control.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmQZmKZ26Ku1rnwRwtRsjLr3gEqQXEr966hXmis2GGDG6p
IRCTS,RC Trainee Spoiler,,"This spoiler modification allows for greater Speed of the Car, but only increases control and acceleration capabilities minimally.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmUPsLvBPxTJAzBE2zM8P7VCHmW1nj3YWEPkZDnxGeJ4ac
IRCDS,RC Dart Spoiler,,The Dart Spoiler allows for greater speed than the Trainee but then takes away from vehicle control.,1000,Race Car,https://ttm.mypinata.cloud/ipfs/Qmez2vYHAiNvB5Fs8mqwWQZfEsuGCPchhbS2h87AZKfNMU
IRCRS,RC Rapid Spoiler,,"This spoiler modification is designed for increasing the Speed of a Race Car, which then has a negative effect on the vehicle's Control.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmWa3F9Ff3DsSmQaRzK9ChebtVrWGo7uZBkFx4PDZtT3zX
IRCGT,RC Grip Tires,,"This modification decreases time of Acceleration, and increases Speed but is to be added mainly to amplify Acceleration.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmcuUCMoS7Nsq1NXN2dA3H6HNHhGXFxRT4XXtZuU2B9esm
IRCCT,RC Clutch Tires,,"The RC Clutch Tires are geared towards increasing acceleration capabilities more than the Grip Tires do, which has a greater negative effect on the Speed.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmSSmJZWQ3AnHYHusx4buSRSxroh9uGWWiZKd7r1wQnaUy
IRCRT,RC Rush Tires,,"The RC Rush Tires are designed for greater Acceleration capabilities than the Clutch, but have an even greater negative effect on Speed.",1000,Race Car,https://ttm.mypinata.cloud/ipfs/QmQBk5w5GoskyQeSFQcjrMKXqcRocSp3qy7qhQ1DAQLU3A
IMT,Moon Ticket,,The Moon ticket grants access to Concert Hall for exciting events and concerts. It's time to let the good times roll.,1000,Entry,https://ttm.mypinata.cloud/ipfs/QmdgAsih2pjY4QxMpw4Sd1ea3KbP45VwBEjEnppvwvnp8m
ISAC,Special Access Card,,"The holder of this card is part of an exclusive club. Definitely an item worth having, if at least not for the mystery of it all.",100,Entry,https://ttm.mypinata.cloud/ipfs/QmYrXpqkhof37eAL2vQz5sUZiPLCcsX7nWhfqnaA92u1nP
IMSC,Moon Scroll,,"The Moon Scroll is a rare item that gives its owner advantage on The Dark Side of The Moon. It contains the Moon Code, which represents the beginnings of the relationship between the Cryptonauts and Moon Babies. It is the gold standard of behaviour as one accepts the responsibility to live and grow on the moon.",500,Moon Baby,https://ttm.mypinata.cloud/ipfs/QmXaNR3x2499895Cax3kAUsTnMAVThZwpuYMMoj7XxWFDm
IG,Gas,,"This black sand is found in the caves and is essential to all operations of the moon. Its texture is strange- soft and moist, yet leaves no liquid on the skin. Scientists have studied the mineral but have yet to explain this unique quality. Its colour is deep and rich but never runs, even when mixed with water.",1000,Resource,https://ttm.mypinata.cloud/ipfs/Qmf1ipMk6b2QSwtVrinK94YcQrqaFvQg3PPWyhpZowhXn3
ISM,Straight Mushroom,Spark Mushroom,"This mushroom is fully charged and ready to expel its energy through Watts. Comparable to the strongest battery on earth, the Straight Mushroom is found deep in craters, lighting up the darkest corners.",750,Resource,https://ttm.mypinata.cloud/ipfs/QmQV8sHM6QdSn4RiswuUmy4YDeiNoVPe6JtQK5N95uzdTk
ICM,Curved Mushroom,Shock Mushroom,"Powerful and pink, this electrical mushroom is found in craters and produces enough Watts to illuminate the entire Dark Side. Only problem is, Cryptonauts have not yet figured out how to utilize this shroom to its full potential and can only extract a certain amount of Watts. This mushroom produces the highest amount of Watts regardless of the Cryptonaut's limited knowledge of it.",250,Resource,https://ttm.mypinata.cloud/ipfs/QmTuKddRPGfCq89PB8Ddp1RNSxap2hpTpZosLGcr12cEhY
ILMR,Lithium Moon Rock,,"This special rock is found high up in the mountains. Though it is not common to see, it is easy to spot due to its neon green color. This rock produces Lithium, the alkali metal used for powering some of the most important Infrastructures on the moon.",1000,Resource,https://ttm.mypinata.cloud/ipfs/QmVN8dXvRPK1Jw62DUZjFcxN4ASWffvQbdbB1w8k9neeYN
IMF1,Moon Fossil 1,Storm Fossil,"With the skeleton of what appears to be an extinct bird-like Moon Creature, Moon Fossil 1 is found deep in the ground, just outside the forest areas. As each discovery allows for Cryptonauts to further connect the dots of the past.",100,Resource,https://ttm.mypinata.cloud/ipfs/QmY8aKDPHkRo3J8KtdUk3PvnVyKaTzgZT4XiCbumYsbP9g
IMF2,Moon Fossil 2,Crag Fossil,"Also found just outside of the forest area, Moon Fossil 2 looks like the remains of a type of water creature. Archaeologists have tried to understand how these fossils have ended up deep in the ground, away from water and speculate a lake where we now have land. This fossil reminds Cryptonauts of a time before them. What is now, was not always so.",100,Resource,https://ttm.mypinata.cloud/ipfs/QmcQvtoNZsWZanbxoRuVDUgYiavxiGnEEj3ajnu494Q12C
,Moon Fossil 3,Abyss Fossil,,100,,
IRMS,Raw Moon Stone,,The breath-taking Raw Moon Stone is found on the outer edges of the craters. These Stones produce magic and gift its finders with an aura that attracts great fortunes and incredible opportunities going forward.,200,Resource,https://ttm.mypinata.cloud/ipfs/QmUS8G8bcRfz2Z5ytzTRBCjVhfTqDdFwmYJGJPBztRchMk
IMS,Moon Stone,,"Once refined at the Oxygen Centers, a beautiful spectrum of purple to pink is revealed on the rock. The stunning stone produces the highest amount of magic for those who understand how to utilize it.",50,Resource,https://ttm.mypinata.cloud/ipfs/QmNuT8fDSvKGZqb2THhUnBSroxWezPtMFXwt8M7p1THXyN
MD,Moon Device,,This device unlocks the greatest opportunities of the universe.,5000,Oclus,
