type,prefix,no,location,moonCycle,origin,artist,description,attributes__category,attributes__gender,no (new),name,gene,moonPhase,image,attributes__trait1,attributes__trait2,attributes__mobility,attributes__intelligence,attributes__ability,attributes__aura,attributes__spirit,attributes__generation
Character,MCSPE,11,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1011,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmR4p8o1NdgfJh4kAw5PhrVShHsM3r8M5HZg32YAzWRqhG,Knowledge,Leader,2,1,2,,,1
Character,MCSPE,12,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1012,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmeYxvUbo7iGiwoWserUhwqi3DtkChc9a1JY4qjP79njmL,Knowledge,Leader,3,2,2,,,1
Character,MCSPE,13,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1013,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmYupeasKhdvznAxC9T13qY758e1zqRKwMnMu9xhB6v4tE,Knowledge,Leader,2,1,3,,,1
Character,MCSPE,14,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1014,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmPk4Xz7gkzG2wgk7T1MoVqDssSo39tBFxbFoKC3hLmJQv,Knowledge,Leader,1,3,3,,,1
Character,MCSPE,15,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1015,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmRL7awA3q2ypEu9NrMvUUYNt64LYo27TkTPzKhGAzRQo7,Knowledge,Leader,3,2,3,,,1
Character,MCSPE,16,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1016,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmU8UiQauvPsifpYzx3UDcxVGk2wYseMxajVjKGiSk7wTJ,Knowledge,Leader,1,2,3,,,1
Character,MCSPE,17,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1017,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmNq5ksw7iQPYcHbDkX5tSiGfugxXyppYbz482PJ5vYoGr,Knowledge,Leader,3,3,1,,,1
Character,MCSPE,18,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1018,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZpHDtFrfevJrfE7RprwwFA5fvkZeL2sJgFz7Wbnb21iY,Knowledge,Leader,3,3,1,,,1
Character,MCSPE,19,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1019,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmahKGUk5qvkxzNRaPmqe3keWCKQ5e7v1MkepTdUqoLsfb,Knowledge,Leader,1,2,2,,,1
Character,MCSPE,20,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1020,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmSPWV2XqMZPoYGK9Tih46eVAwvAfgsboyN6aNxeFhq8wz,Knowledge,Leader,2,2,3,,,1
Character,MCSPE,21,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1021,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmPXisNNs4s1ptGgupbYPBL7RfYDi3XWjHy56QVdfJdtp3,Knowledge,Leader,2,2,2,,,1
Character,MCSPE,22,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1022,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmRU4spzFmmNRm2DDinvfWmaTZChvZtwe61vMnNNVQSXiA,Knowledge,Leader,1,1,3,,,1
Character,MCSPE,23,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1023,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmPdcY279skLTZNpao6g9cUcqbtQiQEcx8nTtEXRsGTv9i,Knowledge,Leader,2,1,2,,,1
Character,MCSPE,24,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1024,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmQp1kSzZM4c8rUupDViraznhB9S7HWaDnvW1uaAzSPfyA,Knowledge,Leader,3,2,1,,,1
Character,MCSPE,25,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1025,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmVEEyuDmAyPGsPhvTnDhzmsuxxRwPsA497pQyVrJqBDyR,Knowledge,Leader,1,1,3,,,1
Character,MCSPE,26,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1026,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmYtE5eLN3KErT9hjU9QR58MSbNCipkn9x6W9xzNmvEmqo,Knowledge,Leader,2,3,2,,,1
Character,MCSPE,27,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1027,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmQXX388qtS6CBEk1xKbJnFnmeTWXAsqv9htFRhWhDHymT,Knowledge,Leader,3,1,1,,,1
Character,MCSPE,28,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1028,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmWsia5G7xzDbXSq7apfMFz8dTR9kUKW5Si2WEcdt3F8fn,Knowledge,Leader,2,1,1,,,1
Character,MCSPE,29,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1029,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZyHVPr1khU3ZKBjsyqGtiQaHtD8TrVbFTcFqsdTvEEGQ,Knowledge,Leader,3,3,1,,,1
Character,MCSPE,30,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1030,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmQFRDEmv3V1a1e1rBEHG3oEv6Ft1qkUwfqeY22H1SuBQz,Knowledge,Leader,2,2,2,,,1
Character,MCSPE,31,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1031,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmTAhVfr7X9qKW2hoxiFpv7dYdotnJx6bW3Sr4JZ6RVbdy,Knowledge,Leader,3,1,3,,,1
Character,MCSPE,32,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1032,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmbf3BEp1RtPRKSM9Vd7KpG18nGaz3jttkP5S1ff8ByheV,Knowledge,Leader,1,3,2,,,1
Character,MCSPE,33,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1033,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmTifL4xzBViMbqToJ4U98jeocS9hNdTEQs3fPpFcKqJT5,Knowledge,Leader,1,3,1,,,1
Character,MCSPE,34,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1034,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZkcwHRsxbd4aHLcEAaacfD1kyAHc2cNxpvYg17ikd1VR,Knowledge,Leader,2,1,1,,,1
Character,MCSPE,35,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1035,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmTpsKc7gBZFEbrf4kfGxMTP2hmZTCDgJuAA1pQcdfitMe,Knowledge,Leader,1,1,1,,,1
Character,MCSPE,36,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1036,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmWjEjiDWQXZ2tokPoGKxELeSdGFATHoXXXZbHiTpmUPYd,Knowledge,Leader,3,2,1,,,1
Character,MCSPE,37,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1037,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmVPHj8QMVi5kWSsYpumzGLr9zMk6iLDiHexswgVGrziE5,Knowledge,Leader,1,2,1,,,1
Character,MCSPE,38,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1038,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmfKo8cCNyYZVGtwkiwk3yQp5XQmGM2TVQTbX8nE9PAf1q,Knowledge,Leader,2,1,1,,,1
Character,MCSPE,39,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1039,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmbexRiAH8oymQJGwdmw9epfPzdVbe3wMdK1nTgpNjCJfQ,Knowledge,Leader,2,3,1,,,1
Character,MCSPE,40,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1040,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZAus15N7J6SJcpRXw737R3QshwZJ85Kj5DRZUbrZdXoP,Knowledge,Leader,3,3,1,,,1
Character,MCSPE,41,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1041,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmW5Z1fHGtdtrkoXNF4LhpQq92RjVVibxBMRsCfgEjbspF,Knowledge,Leader,2,1,1,,,1
Character,MCSPE,42,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1042,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmfGKJBJQvgVBgQ18cXduLrvDTDNqhDfyYj4X9HqGispsC,Knowledge,Leader,2,3,1,,,1
Character,MCSPE,43,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1043,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmYCrGFSfnVDFAXt5GG8msfXYHcCcRjXioXjHvVTDHR7xb,Knowledge,Leader,1,3,1,,,1
Character,MCSPE,44,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1044,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmcWJpWB3jCLQiNiQinWwe2an38JECGktWqQEX7EmozaWC,Knowledge,Leader,2,1,3,,,1
Character,MCSPE,45,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1045,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmb1ZqFjF97gPEvB5wNWaNVJM2but79PvwowHFovfBmCf2,Knowledge,Leader,1,2,3,,,1
Character,MCSPE,46,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1046,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZNLcV5a42pcWiPBtjuZEzq5EVtfruFfXkgdnjwjMury3,Knowledge,Leader,1,1,3,,,1
Character,MCSPE,47,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1047,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmTqxji5pW6fjUzJa59AxF4LbRvRqGBdAfLiosM5xMtVFh,Knowledge,Leader,3,1,2,,,1
Character,MCSPE,48,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1048,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmYuDktrWaBjo4tkcZFiw4yMcyydCBbgrdaUDKDs52iWTi,Knowledge,Leader,3,2,1,,,1
Character,MCSPE,49,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1049,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmYp64v3bpp99wo76HUDeyVt7ZjV6AzG2uEUWqcLBj6GPf,Knowledge,Leader,3,3,3,,,1
Character,MCSPE,50,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1050,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmR6kUrUwivK86wfaDgC9aUT3t3ofy6yJz3ZYDPoBFxdEU,Knowledge,Leader,3,2,2,,,1
Character,MCSPE,51,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1051,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmduYa5N6kpUCZMqe1D2wanYUkhA5VhkgDeVSrLt3cGtPW,Knowledge,Leader,1,2,3,,,1
Character,MCSPE,52,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1052,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmaxP7SHC4wvA1bY7E9CrG6rQnu9HUcWkeHZcG4esq7ts1,Knowledge,Leader,2,2,2,,,1
Character,MCSPE,53,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1053,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmb16j3tPQWu1PTx3kAwxf7yMtqZgufqszMfzbHCPfdipC,Knowledge,Leader,3,2,3,,,1
Character,MCSPE,54,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1054,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmc4Awoj2EtMUp73GhWmFcgS8aKw4yPYcW2V9iLHAf4D1Q,Knowledge,Leader,1,2,2,,,1
Character,MCSPE,55,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1055,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmer3BJojLnLh3cfSL9mzvY795QmRxxM3f1H2um428yVpw,Knowledge,Leader,2,3,2,,,1
Character,MCSPE,56,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1056,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmch1GFdo93SRhi1aUvuehHqDybYzjuhBfwABwEe9JxW3X,Knowledge,Leader,1,2,2,,,1
Character,MCSPE,57,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1057,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmdCNa6xJgyUk6EnfadGTvqXFkbUZWtuhqsXupiZfPCFGu,Knowledge,Leader,2,3,3,,,1
Character,MCSPE,58,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1058,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZamErJAK8PQ2jBMDCCqBjxhrqQk86rdP3VgH79aLbjF5,Knowledge,Leader,2,3,2,,,1
Character,MCSPE,59,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1059,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmUHXtMacHX156abnNCSNdsRhE9G2Mjdxv1fsE7p8hgSbe,Knowledge,Leader,3,1,3,,,1
Character,MCSPE,60,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1060,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmVaTxhDApw6LXZnGooFvUKtKZ9TN9GJxTiaaaHYEu9xxJ,Knowledge,Leader,1,2,1,,,1
Character,MCSPE,61,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1061,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmUfbvkPXe48PhPTt6Z5anRr3D1LV9t3qXQwyQQdjwczSs,Knowledge,Leader,2,2,2,,,1
Character,MCSPE,62,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1062,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmZbDBQrXPfW5p9XHZvMVPmb5KgCKDStXp8TE5kx8mnQ16,Knowledge,Leader,3,3,2,,,1
Character,MCSPE,63,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1063,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmRgm34wKCEVDQwmfF78iKjssXPZh6LJCQYyJoqD5hZW72,Knowledge,Leader,2,1,2,,,1
Character,MCSPE,64,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1064,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmdEMwYaE2ENqssnRvUHrefa5xANXuwF2fydAnYLfmaCut,Knowledge,Leader,1,3,3,,,1
Character,MCSPE,65,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1065,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmWncxRUVrJ7xPseKuvb1CD7KyMs4eVhtvWXz1zUSprHuG,Knowledge,Leader,3,2,1,,,1
Character,MCSPE,66,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1066,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmSJWzvZajwe92EdmWfu1RSfNRRThjfDTHrTAfVAdEcbHh,Knowledge,Leader,2,2,3,,,1
Character,MCSPE,67,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1067,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmX29ivpLUgqAqQz377K8hzbqTxCqUpGBw71bCjNXJBuh9,Knowledge,Leader,2,3,3,,,1
Character,MCSPE,68,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1068,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/Qmdr3oRoSFTt3y1PWUcbT9Vi6YTnRoeJFncd5espozwRsy,Knowledge,Leader,1,1,1,,,1
Character,MCSPE,69,Moon,1,Dark Side,GIN,"A saber-toothed tiger who is not afraid to take charge and lay out the game plan. With its awareness and insight, Speers brings fierce authority everywhere it goes.",Moon Creature,Male,1069,Speers,Sabretooth,New Moon,https://ipfs.tothemoon.net/ipfs/QmdvL2qj134za2jU1bVxo3kJmxivZ3o6DJTiryu3uzpfTo,Knowledge,Leader,1,1,3,,,1
