prefix,name,gene,moonPhase,attributes__generation,description,image,attributes__trait1,attributes__trait2,attributes__mobility,attributes__intelligence,attributes__ability,attributes__aura,attributes__spirit
MCBOC,Boaz,Bovine,First Quarter,3,"Boaz has still not grown into the aggressive, angry bull stereotype we’ve all heard of- And thank goodness for that because everyone loves this tender, gentle soul just as it is.",https://ipfs.tothemoon.net/ipfs/QmNhtVY9MAX1ULqTzNvHFftk765beCvMFM3ZbyJBJMojFb,Humility,Calm,,,,,
MCBOD,Boaz,Bovine,Waxing Gibbous,4,"Looks are always deceiving when it comes to this creature. Boaz's soft demeanor has only been further ingrained in its personality, in spite of its menacing appearance.",https://ipfs.tothemoon.net/ipfs/bafkreidlqp52nqad3pn2jyxeiplzf6743ine73kipotrzexe4owvqqtnda,Humility,Calm,,,,,
MCDR,Drucie,Deer,New Moon,1,"Drucie is sure of its creative capabilities. A true artist at heart, this deer is not afraid to colour outside the lines, then proudly sign its name across the top.",https://ipfs.tothemoon.net/ipfs/QmWaoGoebYv6R9LmaYHYcEZTU42qpnoNQJavap4gS4TP1h,Confidence,Imagination,,,,,
MCDRB,Drucie,Deer,Waxing Crescent,2,"Drucie’s on-of-a-kind, magnificent antlers reflect its creative soul. This unique deer is not only sure of its artistic skills, but also its ability to handle what may come.",https://ttm.mypinata.cloud/ipfs/QmXUFRxFswhU7jXk8uY9dn2zkA4r2ngKjSuPuNn1HAKgxN,Confidence,Imagination,,,,,
MCDRC,Drucie,Deer,First Quarter,3,Drucie’s stance now reflects the type of self-certainty that only comes with growing up. This deer’s original artistic approach cannot be ignored as it has proven to be quite the visionary.,https://ipfs.tothemoon.net/ipfs/QmYz3HztCWkanGypMTAgHA61m93atHWuM7mzFDN8pVayo2,Confidence,Imagination,,,,,
MCDRD,Drucie,Deer,Waxing Gibbous,4,"Drucie has learned to use its art to manifest great blessings! This deer knows that if it can dream it, it can do it. As a result, once paint is put to paper, it considers it done.",https://ipfs.tothemoon.net/ipfs/bafkreifrjbkprqo5gla7awthgtsfvibhmnhehs44dp6ppzn5ecdx2zlcgi,Confidence,Imagination,,,,,
MCCHA,Chalkly,Chicken,New Moon,1,"Just like its beak, Chalkly is unbreakable. This chicken is not afraid to cross the road and knows just what it is made of.",https://ipfs.tothemoon.net/ipfs/QmcrGuApNDS2xVM5Pi8ao7wvJDgvxuR3GZJYPkzAzQtX1S,Confidence,Determination,,,,,
MCCHAB,Chalkly,Chicken,Waxing Crescent,2,"This spunky chicken will not back down. Chalky is sure of itself and its capabilities, proving all those chicken jokes wrong.",https://ttm.mypinata.cloud/ipfs/QmNLp3Tkkj5mdvieFKDkCrPaZwZFbrd4LbcizeAVGuE2rM,Confidence,Determination,,,,,
MCCHAC,Chalkly,Chicken,First Quarter,3,"With an appearance that finally matches its fortitude and boldness, Chalky’s cluck comes with a bravado that’s supported by true courage. This is the chicken you want by your side if you’re scared of the dark and in a galaxy-wide blackout.",https://ipfs.tothemoon.net/ipfs/QmZetvPE5JwwULGM9GS2Ky8VTUkooLPJeSt3PJ8d6KYfQu,Confidence,Determination,,,,,
MCCHAD,Chalkly,Chicken,Waxing Gibbous,4,"With a much more gallant look than before, Chalkly's appearance matches its brave and daring personality. This chicken doesn't wait on any eggs to hatch to make a move. It knows when the time is right and won't be waiting on external cues.",https://ipfs.tothemoon.net/ipfs/bafkreiekvsua2nf3gh5j4ez6ktasm3n6ahsat2taho5t74l3js6q7lherm,Confidence,Determination,,,,,
MCFO,Fortuna,Flamingo,New Moon,1,"Fortuna believes true fortune is not tied to material belongings, but instead- appreciation for one another in the form of relational wealth. This flamingo values kindness and compassion above all else.",https://ipfs.tothemoon.net/ipfs/QmNNe6jv7ML2fifC7VSWRvgppfuPDtKcovh55ArQhQmndk,Respect,Humility,,,,,
MCFOB,Fortuna,Flamingo,Waxing Crescent,2,"Fortuna’s beauty does not only come from its elegant appearance, but its love and tenderness for those around it. This is a flamingo that knows where its fortune lies- in its massive heart.",https://ttm.mypinata.cloud/ipfs/QmTt2axKbenj6KiqXFWLZbUaWLAsXEu6fGRzUYmQEbEc1E,Respect,Humility,,,,,
MCFOC,Fortuna,Flamingo,First Quarter,3,"A truly flawless creature who’s refinement is undoubtedly more than feather-deep. It is the tenderness of Fortuna’s heart that catches the eyes of those around it. This flamingo has not forgotten what is important in life, even with its increasing beauty.",https://ipfs.tothemoon.net/ipfs/QmZFCRqRVm5ACbouQ3tFqqaiF6tJc6Xcw5jWccVqAhFv6Z,Respect,Humility,,,,,
MCFOD,Fortuna,Flamingo,Waxing Gibbous,4,Fortuna knows that the secret to its striking elegance lies on the inside. This flamingo's self-care routine is all about the internal with focus on its growing benevolent heart and down-to-earth demeanor.,https://ipfs.tothemoon.net/ipfs/bafkreiauptae6ityh3t3pm4wjeo4e6vn7mwwrr4uiw2iqpv7sgrfjilmfq,Respect,Humility,,,,,
MCK,Keats,Kangaroo,New Moon,1,This kangaroo knows that when nothing goes right…make up an entire new direction. Keats' flexibility and vision serve it very well as it navigates through the moon's terrain.,https://ipfs.tothemoon.net/ipfs/QmWHvGAGkscycdkSqvRrfbGJGL4WvBDuM1AVxRMFF5PWR5,Adaptability,Imagination,,,,,
MCKB,Keats,Kangaroo,Waxing Crescent,2,"Always ready for wherever its tail may take it, Keats embraces its ingenuity. This kangaroo knows no matter where it has to go, its creative approach will help it adjust.",https://ttm.mypinata.cloud/ipfs/Qmf6L86S25s4CqWsKMLGQQTxNKFt3EuoUt9Mm1dwNbnqhQ,Adaptability,Imagination,,,,,
MCKC,Keats,Kangaroo,First Quarter,3,"Certainly among the more unconventional creatures when it comes to approach; Keats has grown into a true original with an inventive spirit. Now, it is able to rely on its quick feet, along with that trusty tail of its.",https://ipfs.tothemoon.net/ipfs/Qmd7TxADEwwcuZHwAPsyLsNU5oQ5Dnirf118vTXWaY151T,Adaptability,Imagination,,,,,
MCKD,Keats,Kangaroo,Waxing Gibbous,4,There's no telling which direction that tail may go anymore! But one thing is for sure- Keats will adjust in a more innovative way than the time before. This kangaroo has grown into an original genius.,https://ipfs.tothemoon.net/ipfs/bafkreibrvcuko2qyxdapcrohplisptp53ydztqucmkscluvllfr27yae54,Adaptability,Imagination,,,,,
MCEM,Emyra,Elephant,New Moon,1,Emyra is very trustworthy and sensible. This practicality is balanced out by the elephant's idealism and undying hope that good will always prevail.,https://ipfs.tothemoon.net/ipfs/QmRBDUHSgSgGRAgetqvNEvWDSWxh2egq2ZSYfBN1FNAA2z,Optimism,Responsibility,,,,,
MCEMB,Emyra,Elephant,Waxing Crescent,2,Emyra’s positivity shines through any darkness as it lets its trunk show it the way to brighter days. This reliable elephant shows up and moves forward no matter what.,https://ttm.mypinata.cloud/ipfs/QmXHZzFb5hgG9JyH71rxkChRKytddg6NWn2DNvVcDqiSxj,Optimism,Responsibility,,,,,
MCEMC,Emyra,Elephant,First Quarter,3,Emyra and its growing trunk can handle whatever may come their way. This elephant is a steady force who understands a sunny outlook is enough to get through any storm.,https://ipfs.tothemoon.net/ipfs/QmZyQX5fJ3NaBijK7h5NydMu38KzxXMf1qYinVk1xEPBSq,Optimism,Responsibility,,,,,
MCEMD,Emyra,Elephant,Waxing Gibbous,4,"They say an elephant never forgets. Well, Emyra hasn't and will never forget to stay positive- no matter the hardship. Call upon this dependable creature night or day and it'll be there- massive trunk and all!",https://ipfs.tothemoon.net/ipfs/bafkreia7offeupfx6n5dwscognt7gflthvi5iexy5jb7bilt7chr76h5aq,Optimism,Responsibility,,,,,
MCWY,Wynter,Wildcat,New Moon,1,"With a chirpy, come-what-may attitude, Wynter is always prepared for anything. It is one spirited and bold wildcat.",https://ipfs.tothemoon.net/ipfs/QmcmipgPAvuamusMLsrYshDBuSuhdPDWDMt1Vhgg23FExY,Versatility,Alert,,,,,
MCWYB,Wynter,Wildcat,Waxing Crescent,2,"This wildcat is prepared to embrace what lies ahead with paws wide open. Along with its improved, steadier stance, Wynter is even quicker and more agile than ever.",https://ttm.mypinata.cloud/ipfs/QmevmYvExvXP3inkUn2ovw7bUiHhEvosREoi952BvQVJqM,Versatility,Alert,,,,,
MCWYC,Wynter,Wildcat,First Quarter,3,"It may look like a cool cat, but Wynter is definitely more wild than it is cat. Its ability to adapt at any given moment comes from this creature’s killer senses that have strengthened with time.",https://ipfs.tothemoon.net/ipfs/QmZFqp4i5Pki31qFhxwmrYDzQ7c6CG957hiLgWmRDPNwKL,Versatility,Alert,,,,,
MCWYD,Wynter,Wildcat,Waxing Gibbous,4,"As its name may suggest, Wynter can weather any storm. This wildcat has fully grown into the title as even the universe's harshest season can't catch it off guard. That doesn't mean the heat can either; it's one adjustable cat.",https://ipfs.tothemoon.net/ipfs/bafkreibttsjysjgiutvf3h2p76it77wvkzapfz6pdrpirpc6bh6qwr55za,Versatility,Alert,,,,,
MCS,Sirius,Snake,New Moon,1,"Sirius does not get distracted easily, which makes it one scrupulous snake. It may be strict, but only out of the desire for a greater good when it comes to reaching the group's common goal.",https://ipfs.tothemoon.net/ipfs/QmQkaBKAEb4HjC3HPWPUjqFNCPAX2NxMzZ81RG9FomCp8y,Discipline,Focus,,,,,
MCSB,Sirius,Snake,Waxing Crescent,2,"This snake has not shed its fastidious skin, but it’s definitely for the better. Sirius’s trustworthy and dutiful nature makes it as solid as a rock, regardless of its ability to slither through the tiniest of places like a liquid.",https://ttm.mypinata.cloud/ipfs/Qmcm3MuHrJvUUrJzCrb91wY4nqzsbsa6r3kzAHnsX1EWnR,Discipline,Focus,,,,,
MCSC,Sirius,Snake,First Quarter,3,"Never to be described as a flake, even when shedding, Sirius is one tenacious soul. It is allegiant to its cause and regardless of the malleable back bone, this is one snake you can always fall back on.",https://ipfs.tothemoon.net/ipfs/QmeHkKHeNnw1KNQ2oY27jxQEgZshdbeSpLw4wGq5ser3Ve,Discipline,Focus,,,,,
MCSD,Sirius,Snake,Waxing Gibbous,4,"As enduring as the scales on its back, Sirius is one unyielding snake. Once the group decides what's best, this snake is there to make it happen one way or another. If there's anything its enemies have learned over the years it's to let Sirius slither on by.",https://ipfs.tothemoon.net/ipfs/bafkreiha5tgbtjdjolbmwoxygijzwgbjfriq7gxhs25ckb6bb4oajg5g7i,Discipline,Focus,,,,,
MCF,Fender,Frog,New Moon,1,"Quick on its feet, this frog has all the other creatures in stitches with its constant banter. Fender is a real punster who finds the humour in everything.",https://ipfs.tothemoon.net/ipfs/QmRnBXL69mHsAfxLDNRMVCBuzcLtB8wbFa6LbDGhqyVMkX,Humor,Wit,,,,,
MCFB,Fender,Frog,Waxing Crescent,2,"Even funnier than before (if that was even possible), 2nd Generation Fender still has the jokes, only now there is more wisdom to its wise cracks. Who knew that a developed sense of humor would be a mark of maturity?",https://ttm.mypinata.cloud/ipfs/QmXDbRmdwhbNxMuWyVMC9EsqzkN9dUZK55A6fe7GTPX9Qc,Humor,Wit,,,,,
MCFC,Fender,Frog,First Quarter,3,"It may have more muscles, making it one strong frog, but its goofy tongue and personality have not gone anywhere. Fender is still the comedian it was before who’s always looking to share a laugh.",https://ipfs.tothemoon.net/ipfs/Qme1zQAEPRCgB4iBY9zZTsntYGr1gJAUJk5fvujfX1Nqar,Humor,Wit,,,,,
MCFD,Fender,Frog,Waxing Gibbous,4,"Its ready stance and developed body may make it seem like a menacing force but make no mistake, Fender is still the entertaining frog that once used that cute little croak to make its way into the hearts of all.",https://ipfs.tothemoon.net/ipfs/bafkreidmiotvrzagftxpll4ove4ocw7wqiobpoqpts6ivyacag7e2ekzxu,Humor,Wit,,,,,
MCCL,Clause,Crab,New Moon,1,"Whatever the waves washup, Clause is ready to handle it. This crab is steadfast when it comes to reaching a final goal, but flexible with the way it does so.",https://ipfs.tothemoon.net/ipfs/QmUCaqcwrPyTsrMfFtCwrt9JwC4vpxwy5UnSdq3AUAua8k,Versatility,Responsibility,,,,,
MCCLB,Clause,Crab,Waxing Crescent,2,"Being a creature of the water, you wouldn’t think Clause could be so grounded, but rest assured this is one trustworthy crab. However, this does not mean it is rigid. Clause is always prepared to adjust its methods.",https://ttm.mypinata.cloud/ipfs/QmatHKf8E4wek6mhoX9MJzHSigA5vTBKjpB1HcYFYiX8A2,Versatility,Responsibility,,,,,
MCCLC,Clause,Crab,First Quarter,3,"Ready to walk in all directions, Clause reacts to the way of the water. Also, good luck catching this crab off-guard since it is extremely reliable and always prepared.",https://ipfs.tothemoon.net/ipfs/QmSK3Bms1Quy1Cz3w8Wz47cFH4Rz16yzfGrCJ6tjPawJAo,Versatility,Responsibility,,,,,
MCCLD,Clause,Crab,Waxing Gibbous,4,"Ready to snap in any direction necessary, Clause would never abuse its powers. Over the years, this crab has learned that in order to be skilled, one must practice restraint.",https://ipfs.tothemoon.net/ipfs/bafkreihpkcfyqc3nb2bb4zejrxoacnh7y5wwdfim5djmuzcwgxwoa3slqe,Versatility,Responsibility,,,,,
MCFI,Fisk,Fish,New Moon,1,"Though it is still outgoing, this fish brings forward a sense of peacefulness with it. These yin and yang aspects to its personality give Fisk the perfect balance when it comes to making new connections.",https://ipfs.tothemoon.net/ipfs/QmY4yCMsfdU4GoNuHceCCBdZ7XqZNXz6z2DvCaV54WG9P6,Sociable,Calm,,,,,
MCFIB,Fisk,Fish,Waxing Crescent,2,"Friendlier than ever, Fisk is more of an open-up-once-you-get-to-know-it creature. This fish has an ease to it, which is what attracts all of its 49 best friends.",https://ttm.mypinata.cloud/ipfs/QmY9pLGZ4FPmzCH6HLjfNvDbmB9gZrpxbUgNY8XijvhFR6,Sociable,Calm,,,,,
MCFIC,Fisk,Fish,First Quarter,3,"Still the low-key presence it always was, Fisk is now the center of the entire creature’s social circle- forget the fish school! If you asked it, it’d deny it, but this fish’s composed nature and no-effort approach make it the one everyone wants to be around.",https://ipfs.tothemoon.net/ipfs/QmPPNn3SZRYfG8Rwx11WQ6rBwTyBc7ZumboWVhqDPP6wPb,Sociable,Calm,,,,,
MCFID,Fisk,Fish,Waxing Gibbous,4,"There are no other fish in the sea like Fisk. Its trademark soft demeanor has only attracted more friends throughout the years and will continue to do so…all done effortlessly, of course!",https://ipfs.tothemoon.net/ipfs/bafkreifwnvtwkpjc3wthvmhypdf6d4ir6cnihjmxrdp776gthgygoszwum,Sociable,Calm,,,,,
MCRI,Ridley,Rhino,New Moon,1,The desire for more comes with great obligation to achieve. Ridley is a rhinoceros who does not fool around when it comes to accomplishing what it set out to.,https://ipfs.tothemoon.net/ipfs/QmaWhj3E1iyPL4n5XEgW7gTxBtaxW3tmgLX249u5wLgy9u,Ambition,Responsibility,,,,,
