prefix,name,description,moonPhase,image,attributes__gender,attributes__trait1,attributes__trait2,attributes__trait3,attributes__skill,attributes__aura,attributes__style
C019,Cryptonaut .019,You've always got to be on your toes when you spend most of your life six feet in the air. That's why .019 is ready for whatever. His certainty that he'll make the jump keeps him from falling flat on his face.,New Moon,https://ipfs.tothemoon.net/ipfs/QmXbhABTdLFbPwQx121Fjq4YKYVsvu1kavSWiScvXL1nuE,Male,Confidence,Alert,,,,
C020,Cryptonaut .020,.020 is ready to go wherever his jet pack may lead him. He takes on new adventure with open arms and a certainty that all will turn out well.,New Moon,https://ipfs.tothemoon.net/ipfs/QmS72QofFzGNtEbBiKjsYeQEmxKsjcco5iUKmK9iWqaVab,Male,Enthusiasm,Confidence,,,,
C021,Cryptonaut .021,".021 is a brilliant explorer-type. She won't be quoting the dated health advice, ""an apple a day keeps the doctor away"". This Cryptonaut is always on the search for the newest discoveries of the human body, as she's on a mission to expand human knowledge.",New Moon,https://ipfs.tothemoon.net/ipfs/QmeWMt7RaoaKAihAfi2moG3g7eaUVARnhsfhyUfP1dDbXb,Female,Curiosity,Clever,,,,
C022,Cryptonaut .022,"The Cryptonauts can always count on .022 to fix anything. With his inquisitive mind and eager to learn mentality, this Cryptonaut is constantly making the wrong go right.",New Moon,https://ipfs.tothemoon.net/ipfs/QmSxFC6XRWYVD6M91rKbgsPmNXAaeeswFwyuBbqpNuxkk2,Male,Reliability,Curiosity,,,,
C023,Cryptonaut .023,Expansion of civilization on the moon all comes down to determination and accountability for .023. This Cryptonaut is the leader of new development for a reason- he won't rest till they reach civilization's peak.,New Moon,https://ipfs.tothemoon.net/ipfs/QmW7vAftTFp6gZ95JAyyYj4dTGS4CPHvanCLyBqMYRtDHv,Male,Responsibility,Discipline,,,,
C024,Cryptonaut .024,"Development always requires a balance in one's approach, and that is what .024 brings to the table. He has lofty goals for the Cryptonaut's side of the moon, but understands humans must develop with respect to the land and those there before them.",New Moon,https://ipfs.tothemoon.net/ipfs/QmXQHFod4GrLbk6yJNuj2vVWguYFabqftFd1cV6SNj6xhN,Male,Discipline,Conscientiousness,Charm,,,
C025,Cryptonaut .025,This Cryptonaut is relaxed in his approach to fishing and life. For .025 this includes an unwavering belief that the prime catch is just around the corner.,New Moon,https://ipfs.tothemoon.net/ipfs/QmbDuw1s8TpXNiSUUYS26NdSXqpV4SMspb8UnzA74bvhsu,Male,Calm,Faith,Kind,,,
C026,Cryptonaut .026,"For this Cryptonaut, music is the ultimate way to rid of the ego. With an ability to escape himself in the rhythm, .026 is graced with the knowledge that he is just a fraction of a moment in all of eternity. His headphones bring him this freeing realization.",New Moon,https://ipfs.tothemoon.net/ipfs/QmeGKLm4Ag9eh5CuGF8HukwycsKsHKwdRv6C2yrjeUwNL4,Male,Wit,Humility,,,,
C027,Cryptonaut .027,"With the talent of Robinhood, .027 never misses. She is always aware of her surroundings and anything that can affect the arrow's course, which is how this Cryptonaut is in every area of her life.",New Moon,https://ipfs.tothemoon.net/ipfs/Qma4UAXvMPAn7X3YN1C59YyTM5JAfHq4kuYuNK8AXr67KN,Female,Skillful,Alert,,,,
C028,Cryptonaut .028,"With extreme concentration, .028 never misses his target. There can be a meteor shower going on around him and his eye will still be on the ball. Tee up, set sight, and celebrate that hole in one.",New Moon,https://ipfs.tothemoon.net/ipfs/QmW9pTcFWKDPY522nMLgPUNk55cPYJ6UXSAHaM5XWd5aDZ,Male,Skillful,Focus,,,,
C029,Cryptonaut .029,".029 is as predictable as the rain in spring. Never without his telescope, this Cryptonaut feels an obligation to the universe to explore every inch of it.",New Moon,https://ipfs.tothemoon.net/ipfs/QmSRiAyAiv9Ds5bEXEZ7iVWTg3PDrxCVSjxm9qjV6sBSpa,Male,Reliability,Responsibility,Kind,,,
C030,Cryptonaut .030,".030 is always in good spirits, especially knowing opportunity is never far behind. Carrying a bag full of potential, this Cryptonaut moves with confidence and trusts every choice made along the way.",New Moon,https://ipfs.tothemoon.net/ipfs/QmZC8iqP8fXnwGm2eA78S9DjzdYi3x3zd1AXdxFq99vN4u,Male,Optimism,Confidence,,,,
C031,Cryptonaut .031,"This Cryptonaut has got one thing and one thing only on her mind - what others overlook. .031 knows the value hidden beneath the surface and honors the patience it takes to uncover fossils long forgotten. In her hands, the past is always worth discovering.",New Moon,https://ipfs.tothemoon.net/ipfs/QmTRKPSpbAPch1aHv9QFP8J4XsJBc9EzX1RVq8cvefjEPh,Female,Determination,Respect,,,,
C032,Cryptonaut .032,A real punster who enjoys a little drink now and then. His sometimes-chaotic energy is balanced by .032's sense of trust in something greater than himself.,New Moon,https://ipfs.tothemoon.net/ipfs/QmU4rXx7EuXTETz3xWa5RwVV891LZvF5zayvAUhB4q9rhs,Male,Intuition,Faith,Wit,,,
C033,Cryptonaut .033,"Determined to get to the top, .033 has 360-degree awareness for anything that can possibly stop him- or any rocks coming down the mountain.",New Moon,https://ipfs.tothemoon.net/ipfs/QmQeXjNGFLHWARgZ9zEx5ouZVt5Xv8VgvH2E4AQvBpc4h9,Male,Focus,Alert,Respect,,,
C034,Cryptonaut .034,"Always ready to bring out the guitar for an impromptu party, .034 is a real entertainer. This Cryptonaut is prepared for anything because you never know when someone is going to need a killer riff.",New Moon,https://ipfs.tothemoon.net/ipfs/QmPRadHvkWqMF1Qd12ThvdCJXACYsXg1ddpRkQTFJDiNQg,Male,Adaptability,Sociable,,,,
C035,Cryptonaut .035,Good thing .035 has got the brains and trustworthiness to deal with something as dangerous as electricity. It takes great dependableness to handle live wires. No forks in the socket for this guy; safety comes first.,New Moon,https://ipfs.tothemoon.net/ipfs/Qmd5Sic3QC49yJeurVuWKEt7bCEgcu6s9aMj5W2Y2Lec1F,Male,Clever,Reliability,,,,
C036,Cryptonaut .036,".036 is all about the simplest, most satisfying way to achieve something. He's a no fuss kind of Cryptonaut who's a real comedian.",New Moon,https://ipfs.tothemoon.net/ipfs/QmWnuPLpUAvqxLWMNGJ2k6KwgwwAPXGgEh9kyWzuVLDCDm,Male,Efficiency,Humor,,,,
C037,Cryptonaut .037,".037 is a Cryptonaut of high standards. Keeping his two homes -his body and environment-clean is how he cares and appreciates them both. Usually, those around him find his uptight behaviour irritating, but .037 simply pokes back with a smart remark.",New Moon,https://ipfs.tothemoon.net/ipfs/QmdU8Q3wmFjHGVBP7DfJTXe5Z1KpmK1dFAkAaNzt99ygG1,Male,Conscientousness,Wit,,,,
C038,Cryptonaut .038,Video games have taught .038 to be ready for anything and to adjust accordingly. This Cryptonaut is not a typical hide-in-the-basement gamer. She is super popular and will make any stranger a friend.,New Moon,https://ipfs.tothemoon.net/ipfs/QmYkRqDG4JUMFsB6Vnipd4PJL33tCw4rsYN5GmZSoJ1or7,Female,Adaptability,Alert,Sociable,,,
C039,Cryptonaut .039,".039 is a born guardian with a natural sense of authority. The group can feel safe and at ease, knowing this Cryptonaut has security handled. Additionally, his manly musk is irresistible to those around him.",New Moon,https://ipfs.tothemoon.net/ipfs/QmSAACt5myt5Vk3BRTq3Qc3BgwmY4VkmuDHNgD6WS8os73,Male,Respect,Charisma,,,,
C040,Cryptonaut .040,".040 is the type of Cryptonaut who can make anyone feel like the most special person in the universe, as she sings into their eyes. With the voice of an angel, this songbird draws those around her in to appreciate the simplistic beauty of song.",New Moon,https://ipfs.tothemoon.net/ipfs/QmUxBaWmw8NDMHEq26qQiy6dK9yph9yZ2Sf2aGrjWfk9iW,Female,Talent,Sociable,Generosity,,,
C041,Cryptonaut .041,.041 has the ability to see the final product before she even touches her tools. This Cryptonaut is a visionary who wastes no time when it comes to bringing her ideas to life.,New Moon,https://ipfs.tothemoon.net/ipfs/Qmd9LBdTxxdsudYcA6wBd5xpoqouJRjuYV1tpvjsBwwfkn,Female,Efficiency,Imagination,,,,
C042,Cryptonaut .042,".042 is always looking for answers under her microscope. With the belief she is just one microbe away from a universe shattering discovery, this Cryptonaut is committed to reaching a conclusion. However, she is always open to various hypotheses along the way.",New Moon,https://ipfs.tothemoon.net/ipfs/QmfVvwDPktUj8Wa9bJJ5PCRkWDhZ6gV7NEJHGEjEcdB4LA,Female,Versatility,Reliability,Humility,,,
C043,Cryptonaut .043,".043 is not afraid to put his back into it. This Cryptonaut is driven to win but is certainly never a sore loser. He has class and charm, even when the competition is tight.",New Moon,https://ipfs.tothemoon.net/ipfs/QmQUsEb8rgvTkjUSD9bfvKNPAcUsyJzTPV5u2cvDD8dwQf,Male,Determination,Humility,,,,
C044,Cryptonaut .044,"This Cryptonaut may not know exactly where he is going, but that's how the most worthwhile discoveries are made. Always ready to redirect himself, .044 is a true explorer at heart.",New Moon,https://ipfs.tothemoon.net/ipfs/QmQbhBSDmb5djBLPgXP8Qf8CWs8bgUZ5PC521Wk7VRXXLD,Male,Versatility,Curiosity,,,,
C045,Cryptonaut .045,"The zen Cryptonaut who offers her infinite serenity to the gang when they need it most. .045 is perhaps one of the most enlightened of the bunch, but in a no-brag, humble way.",New Moon,https://ipfs.tothemoon.net/ipfs/QmeJDrGHffRsp3kTJM6M55PZehZSRVE2S6W8rfDqaYjpG9,Female,Conscientousness,Calm,Kind,,,
C046,Cryptonaut .046,"Not entirely sure where her parachute will take her, .046 is happy to explore wherever it is. The only thing she is certain of is that she is one of the greatest explorers to walk the moon.",New Moon,https://ipfs.tothemoon.net/ipfs/QmWLEb3twyC9hMGv8xMjBgjvCTWLz2SDA8tMHGoqamERZ4,Female,Ambition,Curiosity,,,,
C047,Cryptonaut .047,.047 is always doing things to make others laugh. This Cryptonaut is a happy- go-lucky Cryptonaut who approaches life with her arms wide open (in 3 feet of snow).,New Moon,https://ipfs.tothemoon.net/ipfs/QmNgxXFcgdQVbDGisEMgUYQn2iaFnh9wzgaRt7tPyq273V,Female,Enthusiasm,Humor,Humility,,,
C048,Cryptonaut .048,"A Cryptonaut who redefines luxury. With oozing intelligence and an alluring persona, .048 is seemingly unaware of his own grandeur.",New Moon,https://ipfs.tothemoon.net/ipfs/QmSzLxJiAKqiD6bgkGc4VTzAUVbjsDC2o6wX5zRBLjumv1,Male,Clever,Respect,Charisma,,,
C049,Cryptonaut .049,"With child-like innocence, .049's pull is her ability to enjoy the moment. This Cryptonaut doesn't let overthinking ruin anything as she's here for a good time, not a long time. Good thing her kindness offers balance to this lackadaisical attitude.",New Moon,https://ipfs.tothemoon.net/ipfs/QmdfTJ61Dd9966t7K1yYRLhPrunwPy14pGZTnffLBRZbK2,Female,Charm,Humility,,,,
C050,Cryptonaut .050,"Timing is everything and .050 always has enough patience for the perfect time's arrival. This Cryptonaut knows things have a way of working themselves out, so he waits with a mixture of ease and excitement for his coming fortunes.",New Moon,https://ipfs.tothemoon.net/ipfs/QmdyBtvHNZBEQ5bpgpgLhki65WZEdHnnPWnm66ygF6ahX7,Male,Optimism,Confidence,Enthusiasm,,,
C051,Cryptonaut .051,"A true guardian at heart. .051 has enough self-restraint, control, and vision to protect the entire galaxy, let alone the moon.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmUMkNxzivS51nLosvUS3xihLfByHFGUGMSk8JRqbB1Qtq,Male,Leader,Discipline,Ambition,,,
C052,Cryptonaut .052,"There is a lot to be learned from the ants, one of the strongest species in the world. For instance, an unwavering belief in the self, adaptability, and a strong conviction that all will turn out better than okay. That’s why .052 is such a force to be reckoned with- she does as she observes.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmV8MnXa37bxxjNW9h22zgTvdqNhPhP5nmSciBdg7ko7rT,Female,Intuition,Versatility,Optimism,,,
C053,Cryptonaut .053,"Intelligence and compassion like .053’s cannot be bought, even with all the TTM coins in the universe. Luckily, he’s already got a great deal of both and is always down to share and spread the good.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmcQgosE9b3sYPwUyTWpgNX3EUiR5K797jfk4TvJCApecz,Male,Logic,Focus,Kind,,,
C054,Cryptonaut .054,"There’s no need to lose it when you always know the way. And if you don’t, you’ll make it work even better than imagined. .054 finds blessings down every path she takes and knows it.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmQkLoqy2ymeq2AGr3c3N6qxWQ8u74dq3V1VFTBnBE42B9,Female,Luck,Adaptability,Calm,,,
C055,Cryptonaut .055,A real handyman who knows his way around any moon tool. .055 is aware of the beauty of his surroundings and only uses his skills when necessary to protect the environment.,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmWiQxPQhTgkGFAYY1vBNZQh7mh6ew9XDsQ35bXcjm8ovi,Male,Skillful,Alert,Respect,,,
C056,Cryptonaut .056,"Hailing from the financial core of an earthly city, this business man is tied to his ventures. .056 is a smart Cryptonaut with great certainty.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmfR2iGL69rtamjQEK8WYKnwLnKXhHenjZfDGme9QhweK2,Male,Clever,Confidence,Responsibility,,,
C057,Cryptonaut .057,"Not every recipe goes as planned, but that doesn’t matter when you’re this good at what you do. .057 is the perfect combination of skill, readiness and passion- *Chef’s kiss!*",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmRtrXdP2pYuDjoHGTUrpKBpssrzmi8ipjavu7SuMTNhvF,Male,Talent,Adaptability,Enthusiasm,,,
C058,Cryptonaut .058,"Staying true to her roots, everyone can always count on .058 to make a beautiful sound that comes from years of practice. She is always willing to share a good ol’ traditional Oran.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmZsfAW7dDMM7CGzrWs25xPtPRapT8pWmi2FG4FbANo4X3,Female,Talent,Reliability,Generosity,,,
C059,Cryptonaut .059,"Chess is a game of speed, intellect and strategy. That’s why .059 is the real queen of the chessboard. Care for a match?",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmNc5S86mHJjspFBZcL99EyJoE4LJfSDt2UVYUxYE77tTo,Female,Wisdom,Clever,Efficiency,,,
C060,Cryptonaut .060,"A child-like wonder, anchored by an eye set on target will take you to extraordinary depths one could only dream of reaching. .060’s need to discover is the air that powers his scuba tank, as he explores the open waters.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmNnQWgvZyWP6ynN7NeyssnKjVri7AekNSL4AS6CZiqHF9,Male,Focus,Conscientiousness,Curiosity,,,
C061,Cryptonaut .061,"Carrying the need to share an untold story within her, .061 is quick-witted and creative beyond belief. While her vocab may be complex, she is a simple soul.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmPcqjQXmyXHcwK8Gy1YNCTeEr3C2X2qSN9GtbpESQucZi,Female,Clever,Imagination,Humility,,,
C062,Cryptonaut .062,"This earnest Cryptonaut shares his funny with the universe the best way he knows how- through his laptop. .062 is a viral content creator who has all the cryptonauts tuned in to his channel, waiting for their daily dose of laughs.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmUJrKwXQRDDQS1kghNnPJhzDdNoQRgLEXy9C69RDP6Xkh,Male,Ambition,Humor,,,,
C063,Cryptonaut .063,"Always willing to get herself where she needs to be to capture the perfect shot. .063 has an eye for not only what, but when to take the pic. Her artistic charm oozes through her work.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/Qmdnuz5a4rxbrBszcs7VkeZ2ZW837uNCaswXayfLG4sxKE,Female,Versatility,Charisma,,,,
C064,Cryptonaut .064,"The quickest fingers of the universe, taking over the GameFi space. .064’s persistence and readiness make him the best gamer of the entire universe.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmeFZGEVcAHtdejLZ6YKQiRLjDuhKj22rNssPD6txREX6Z,Male,Determination,Efficiency,,,,
C065,Cryptonaut .065,"With focus as sharp as his sword, .065 has the humbleness and tenacity to be the universe’s ultimate sword master. This samurai will not back down.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmV5EhT1miUYLWB5GbtVkn3Z5JLvtV64ppna6ximSKdJF2,Male,Discipline,Focus,Kind,,,
C066,Cryptonaut .066,"A little mystery never hurt anyone, especially not .066 because he knows he’ll crack the case wide open. Ever heard of the case of the missing lithium moon rocks? Probably not because it was solved in no time. This detective is always willing to volunteer his services.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmYDSHEzWYNpCVhYT4xMPfnw5aWyaRrAJtUWxdqUs52kW6,Male,Optimism,Generosity,,,,
C067,Cryptonaut .067,"Curious to know what happens when you mix Moon Pear Seeds with GAS? Just ask .067 because she’s already done it all. Her one-track mind is balanced by her steady, focused process, making her a remarkable chemist.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmPMkyPsBpNHBth7TvPr51V5FqoxjaE2wnU7eJGq7za775,Female,Determination,Calm,,,,
C068,Cryptonaut .068,"Kick back, relax, and just sink in. .068 is always down for a lounge- and a laugh. She always manages to keep the good times going with her cheerful demeanor and magnetism.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmQ88zbkhGNPmnqLqizXXoFXWXU629rhQPKs4dSa3wsY3v,Female,Humor,Charm,,,,
C069,Cryptonaut .069,"This outgoing Cryptonaut feels his way to properly caring for his trees. He knows all about their roots, stems and leaves… the process of aerobic respiration…how they use CO2 to make oxygen… .069 is determined to grow the most fertile marijuana trees for the entire universe.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmYk4qqNszFyCcPYcWhC3KDejDEqjNpsP9vDg3Z5z71Rxd,Male,Intuition,Ambition,Sociable,,,
C070,Cryptonaut .070,"No weapons, just skill. .070’s agility and awareness make him a Judo master. There’s no sneaking up behind this Cryptonaut…Ready, set, randori!",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmSTYDsxKuf8jjAmGabzrw5kVabqZSjcvyPTRhFAQs7x2Z,Male,Versatility,Alert,,,,
C071,Cryptonaut .071,No hitting below the belt here. .071 takes care to give nothing but a fair match. Why wouldn’t he when he has an unwavering faith in himself and his vigilance.,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmV493FyRW8aLKDNZZA2tZQfGM9TfCUvSvJpYhFPmwKZqJ,Male,Alert,Confidence,Responsibility,,,
C072,Cryptonaut .072,"Every Cryptonaut loves to visit the kind butcher. With her clever zingers and gentle nature, .072 uses her knife to chop and share! There is always more than enough at this butcher’s shop.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmRoqVUyA7nkMqDS62ftTPzxJgBb5Udwdj6NxosaKYL2hn,Female,Wit,Generosity,,,,
C073,Cryptonaut .073,"Got to move the GAS and Lithium Moon Rocks from A to B somehow. Luckily, .073 is all about keeping to the process and not wasting any resources. His down-to-earth character has made him a go-to for safe transportation of naturally occurring valuables of the moon.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmNpEwgz4tcNcenFrcgj6HYrTpxL5Sz2fARG6LD7cCcnBM,Male,Humility,Respect,,,,
C074,Cryptonaut .074,This snow bunny is certain she’ll be the first at the foot of the moon mountain. The only thing slowing .074 down is her little detours to explore off the beaten paths. Cross-country skiing anyone?,Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmPEmSZNR8g2MjhoacfP3pKhEGtUizaQemFxofbi8NzRXs,Female,Confidence,Curiosity,,,,
C075,Cryptonaut .075,"Not exactly the type that can be rented for kid’s birthday parties… .075 has too much natural feeling, confidence and charm for a distracted audience like that. This magician is a proper showman and the headlining act, so, step right up and see the great and powerful .075!",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmamXFJBE1jzRpP5ACCCshv1rS5AttTqMzn2YzdDJ4V1nc,Male,Intuition,Faith,Charisma,,,
C076,Cryptonaut .076,"In a very Rockstar-esque way, .076 is the center of attention. His ability to play the drums like no one else and outgoingness may be what draws people into the party, but it’s his humanity and sweetness that keep them there.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmNTQF8VWgj1Cbnae9xNmUmgdiLneGPtFsGgjMZvCeHbZN,Male,Sociable,Kind,,,,
C077,Cryptonaut .077,".077 has got her tokens locked and loaded. With that striking tenacity and boldness, softened by her grace, she won’t be dialing the combination for just any opportunity that comes her way.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmTrdJWNwbYrwTWjHgJSA1cMcBPp7j64krsyyDwL1JPHVd,Female,Ambition,Enthusiasm,Charm,,,
C078,Cryptonaut .078,".078 is the perfect example of how reading builds intelligence and humor. The only problem is trying to get him to look up from his book and throw some of that banter, but that just proves his commitment to his work as the moon’s leader in literary research.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmToTrTc8XATrqbo15mUgRMDRXNHavxnXTFQkJs3r53u8i,Male,Responsibility,Wit,,,,
C079,Cryptonaut .079,"This old soul reminds the other Cryptonauts that no matter how far development on the moon goes, they must stay humble and that sometimes, going back to basics pays off. Side note- .079’s charm also helps him win this argument.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmWRJYKNAF17dPnnoqoBWthxk7JR96NcCJtht4antAKvBE,Male,Charisma,Kind,,,,
C080,Cryptonaut .080,".080 knows when to hold ‘em and when to fold ‘em. His belief in himself and ability to play whatever cards he is dealt, is all part of what draws others to him.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/Qmc2VS5vZajQHhUqrg4aSYE8PELn2mnxWTaiGmwqBG7U7W,Male,Faith,Adaptability,Charm,,,
C081,Cryptonaut .081,"Always willing to share a nice cold one, .081 is the friend that is sure to be there. He will always lend an ear over a pint or two. Just be ready for an adventure later on- drinking puts him in an explorative mood.",Waxing Crescent,https://ttm.mypinata.cloud/ipfs/QmRrCxVNJP9DXKQdQ8VwES1TBzDXCCX5g1ofts1gUSwhrD,Male,Reliability,Curiosity,,,,
